RR-I(ms):ECG,,,,,,,,,
181.00,,,,,,,,,
177.00,,,,,,,,,
180.00,,,,,,,,,
183.00,,,,,,,,,
182.00,,,,,,,,,
184.00,,,,,,,,,
186.00,,,,,,,,,
178.00,,,,,,,,,
188.00,,,,,,,,,
178.00,,,,,,,,,
188.00,,,,,,,,,
189.00,,,,,,,,,
180.00,,,,,,,,,
182.00,,,,,,,,,
189.00,,,,,,,,,
190.00,,,,,,,,,
193.00,,,,,,,,,
183.00,,,,,,,,,
189.00,,,,,,,,,
191.00,,,,,,,,,
196.00,,,,,,,,,
195.00,,,,,,,,,
194.00,,,,,,,,,
188.00,,,,,,,,,
195.00,,,,,,,,,
200.00,,,,,,,,,
202.00,,,,,,,,,
195.00,,,,,,,,,
190.00,,,,,,,,,
196.00,,,,,,,,,
203.00,,,,,,,,,
190.00,,,,,,,,,
191.00,,,,,,,,,
192.00,,,,,,,,,
192.00,,,,,,,,,
193.00,,,,,,,,,
192.00,,,,,,,,,
193.00,,,,,,,,,
192.00,,,,,,,,,
194.00,,,,,,,,,
195.00,,,,,,,,,
193.00,,,,,,,,,
189.00,,,,,,,,,
181.00,,,,,,,,,
196.00,,,,,,,,,
193.00,,,,,,,,,
192.00,,,,,,,,,
193.00,,,,,,,,,
194.00,,,,,,,,,
196.00,,,,,,,,,
196.00,,,,,,,,,
193.00,,,,,,,,,
189.00,,,,,,,,,
194.00,,,,,,,,,
192.00,,,,,,,,,
194.00,,,,,,,,,
194.00,,,,,,,,,
196.00,,,,,,,,,
201.00,,,,,,,,,
201.00,,,,,,,,,
194.00,,,,,,,,,
196.00,,,,,,,,,
198.00,,,,,,,,,
193.00,,,,,,,,,
186.00,,,,,,,,,
194.00,,,,,,,,,
194.00,,,,,,,,,
195.00,,,,,,,,,
193.00,,,,,,,,,
194.00,,,,,,,,,
200.00,,,,,,,,,
195.00,,,,,,,,,
194.00,,,,,,,,,
193.00,,,,,,,,,
197.00,,,,,,,,,
192.00,,,,,,,,,
186.00,,,,,,,,,
192.00,,,,,,,,,
197.00,,,,,,,,,
194.00,,,,,,,,,
193.00,,,,,,,,,
190.00,,,,,,,,,
193.00,,,,,,,,,
195.00,,,,,,,,,
194.00,,,,,,,,,
192.00,,,,,,,,,
190.00,,,,,,,,,
176.00,,,,,,,,,
188.00,,,,,,,,,
188.00,,,,,,,,,
189.00,,,,,,,,,
192.00,,,,,,,,,
192.00,,,,,,,,,
196.00,,,,,,,,,
197.00,,,,,,,,,
192.00,,,,,,,,,
180.00,,,,,,,,,
204.00,,,,,,,,,
203.00,,,,,,,,,
201.00,,,,,,,,,
197.00,,,,,,,,,
201.00,,,,,,,,,
203.00,,,,,,,,,
205.00,,,,,,,,,
200.00,,,,,,,,,
200.00,,,,,,,,,
202.00,,,,,,,,,
197.00,,,,,,,,,
193.00,,,,,,,,,
195.00,,,,,,,,,
201.00,,,,,,,,,
187.00,,,,,,,,,
192.00,,,,,,,,,
196.00,,,,,,,,,
195.00,,,,,,,,,
194.00,,,,,,,,,
192.00,,,,,,,,,
192.00,,,,,,,,,
183.00,,,,,,,,,
190.00,,,,,,,,,
191.00,,,,,,,,,
193.00,,,,,,,,,
195.00,,,,,,,,,
195.00,,,,,,,,,
193.00,,,,,,,,,
179.00,,,,,,,,,
190.00,,,,,,,,,
191.00,,,,,,,,,
190.00,,,,,,,,,
189.00,,,,,,,,,
194.00,,,,,,,,,
194.00,,,,,,,,,
177.00,,,,,,,,,
189.00,,,,,,,,,
190.00,,,,,,,,,
191.00,,,,,,,,,
193.00,,,,,,,,,
190.00,,,,,,,,,
190.00,,,,,,,,,
191.00,,,,,,,,,
188.00,,,,,,,,,
190.00,,,,,,,,,
188.00,,,,,,,,,
191.00,,,,,,,,,
191.00,,,,,,,,,
193.00,,,,,,,,,
188.00,,,,,,,,,
178.00,,,,,,,,,
189.00,,,,,,,,,
190.00,,,,,,,,,
187.00,,,,,,,,,
192.00,,,,,,,,,
193.00,,,,,,,,,
192.00,,,,,,,,,
190.00,,,,,,,,,
190.00,,,,,,,,,
182.00,,,,,,,,,
188.00,,,,,,,,,
186.00,,,,,,,,,
189.00,,,,,,,,,
192.00,,,,,,,,,
193.00,,,,,,,,,
189.00,,,,,,,,,
189.00,,,,,,,,,
174.00,,,,,,,,,
192.00,,,,,,,,,
197.00,,,,,,,,,
189.00,,,,,,,,,
191.00,,,,,,,,,
186.00,,,,,,,,,
188.00,,,,,,,,,
186.00,,,,,,,,,
186.00,,,,,,,,,
183.00,,,,,,,,,
181.00,,,,,,,,,
182.00,,,,,,,,,
177.00,,,,,,,,,
177.00,,,,,,,,,
176.00,,,,,,,,,
174.00,,,,,,,,,
175.00,,,,,,,,,
173.00,,,,,,,,,
172.00,,,,,,,,,
171.00,,,,,,,,,
170.00,,,,,,,,,
169.00,,,,,,,,,
169.00,,,,,,,,,
169.00,,,,,,,,,
167.00,,,,,,,,,
165.00,,,,,,,,,
164.00,,,,,,,,,
163.00,,,,,,,,,
163.00,,,,,,,,,
161.00,,,,,,,,,
162.00,,,,,,,,,
164.00,,,,,,,,,
163.00,,,,,,,,,
160.00,,,,,,,,,
160.00,,,,,,,,,
160.00,,,,,,,,,
159.00,,,,,,,,,
159.00,,,,,,,,,
160.00,,,,,,,,,
160.00,,,,,,,,,
159.00,,,,,,,,,
159.00,,,,,,,,,
164.00,,,,,,,,,
161.00,,,,,,,,,
159.00,,,,,,,,,
163.00,,,,,,,,,
160.00,,,,,,,,,
161.00,,,,,,,,,
158.00,,,,,,,,,
164.00,,,,,,,,,
162.00,,,,,,,,,
160.00,,,,,,,,,
161.00,,,,,,,,,
160.00,,,,,,,,,
161.00,,,,,,,,,
163.00,,,,,,,,,
162.00,,,,,,,,,
172.00,,,,,,,,,
164.00,,,,,,,,,
163.00,,,,,,,,,
164.00,,,,,,,,,
163.00,,,,,,,,,
162.00,,,,,,,,,
