RR-I(ms):ECG,,,,,
150.00,,,,,
149.00,,,,,
148.00,,,,,
147.00,,,,,
151.00,,,,,
149.00,,,,,
150.00,,,,,
147.00,,,,,
145.00,,,,,
148.00,,,,,
146.00,,,,,
147.00,,,,,
144.00,,,,,
142.00,,,,,
142.00,,,,,
142.00,,,,,
141.00,,,,,
142.00,,,,,
141.00,,,,,
139.00,,,,,
141.00,,,,,
140.00,,,,,
141.00,,,,,
143.00,,,,,
139.00,,,,,
143.00,,,,,
140.00,,,,,
145.00,,,,,
145.00,,,,,
147.00,,,,,
144.00,,,,,
143.00,,,,,
146.00,,,,,
147.00,,,,,
145.00,,,,,
153.00,,,,,
148.00,,,,,
149.00,,,,,
150.00,,,,,
151.00,,,,,
157.00,,,,,
154.00,,,,,
148.00,,,,,
145.00,,,,,
148.00,,,,,
146.00,,,,,
146.00,,,,,
148.00,,,,,
154.00,,,,,
149.00,,,,,
149.00,,,,,
146.00,,,,,
147.00,,,,,
153.00,,,,,
156.00,,,,,
152.00,,,,,
152.00,,,,,
151.00,,,,,
148.00,,,,,
147.00,,,,,
149.00,,,,,
149.00,,,,,
150.00,,,,,
154.00,,,,,
150.00,,,,,
154.00,,,,,
155.00,,,,,
150.00,,,,,
146.00,,,,,
146.00,,,,,
148.00,,,,,
148.00,,,,,
147.00,,,,,
147.00,,,,,
146.00,,,,,
145.00,,,,,
147.00,,,,,
148.00,,,,,
145.00,,,,,
147.00,,,,,
147.00,,,,,
149.00,,,,,
146.00,,,,,
148.00,,,,,
151.00,,,,,
143.00,,,,,
148.00,,,,,
153.00,,,,,
150.00,,,,,
145.00,,,,,
144.00,,,,,
145.00,,,,,
150.00,,,,,
148.00,,,,,
145.00,,,,,
151.00,,,,,
146.00,,,,,
148.00,,,,,
157.00,,,,,
146.00,,,,,
147.00,,,,,
143.00,,,,,
140.00,,,,,
141.00,,,,,
140.00,,,,,
133.00,,,,,
137.00,,,,,
143.00,,,,,
138.00,,,,,
137.00,,,,,
136.00,,,,,
137.00,,,,,
139.00,,,,,
138.00,,,,,
137.00,,,,,
135.00,,,,,
137.00,,,,,
136.00,,,,,
137.00,,,,,
136.00,,,,,
139.00,,,,,
136.00,,,,,
138.00,,,,,
139.00,,,,,
140.00,,,,,
143.00,,,,,
138.00,,,,,
139.00,,,,,
139.00,,,,,
137.00,,,,,
140.00,,,,,
141.00,,,,,
140.00,,,,,
142.00,,,,,
143.00,,,,,
147.00,,,,,
149.00,,,,,
145.00,,,,,
142.00,,,,,
144.00,,,,,
